date,from,to,direct_flight_yn
2-Sep,PPT,BOB,Y
2-Sep,PPT,HUH,Y
2-Sep,PPT,RGI,Y
2-Sep,PPT,TIH,Y
2-Sep,PPT,FAV,N
2-Sep,PPT,RFP,Y
6-Sep,BOB,PPT,Y
6-Sep,BOB,RGI,Y
6-Sep,BOB,HUH,Y
6-Sep,BOB,TIH,N
6-Sep,BOB,FAV,N
6-Sep,BOB,RFP,Y
6-Sep,HUH,PPT,Y
6-Sep,HUH,BOB,Y
6-Sep,HUH,RGI,N
6-Sep,HUH,TIH,N
6-Sep,HUH,FAV,N
6-Sep,HUH,RFP,Y
6-Sep,RGI,PPT,Y
6-Sep,RGI,BOB,N
6-Sep,RGI,HUH,N
6-Sep,RGI,TIH,Y
6-Sep,RGI,FAV,Y
6-Sep,RGI,RFP,N
6-Sep,TIH,PPT,Y
6-Sep,TIH,BOB,N
6-Sep,TIH,RGI,Y
6-Sep,TIH,HUH,N
6-Sep,TIH,FAV,N
6-Sep,TIH,RFP,N
6-Sep,FAV,PPT,Y
6-Sep,FAV,BOB,N
6-Sep,FAV,RGI,N
6-Sep,FAV,HUH,N
6-Sep,FAV,TIH,N
6-Sep,FAV,RFP,N
6-Sep,PPT,BOB,Y
6-Sep,PPT,HUH,Y
6-Sep,PPT,RGI,Y
6-Sep,PPT,TIH,Y
6-Sep,PPT,FAV,N
6-Sep,PPT,RFP,Y
10-Sep,BOB,PPT,Y
10-Sep,BOB,RGI,Y
10-Sep,BOB,HUH,Y
10-Sep,BOB,TIH,N
10-Sep,BOB,FAV,N
10-Sep,BOB,RFP,Y
10-Sep,HUH,PPT,Y
10-Sep,HUH,BOB,Y
10-Sep,HUH,RGI,N
10-Sep,HUH,TIH,N
10-Sep,HUH,FAV,N
10-Sep,HUH,RFP,Y
10-Sep,RGI,PPT,Y
10-Sep,RGI,BOB,N
10-Sep,RGI,HUH,N
10-Sep,RGI,TIH,N
10-Sep,RGI,FAV,Y
10-Sep,RGI,RFP,N
10-Sep,TIH,PPT,N
10-Sep,TIH,BOB,N
10-Sep,TIH,RGI,Y
10-Sep,TIH,HUH,N
10-Sep,TIH,FAV,N
10-Sep,TIH,RFP,N
10-Sep,FAV,PPT,Y
10-Sep,FAV,BOB,N
10-Sep,FAV,RGI,N
10-Sep,FAV,HUH,N
10-Sep,FAV,TIH,N
10-Sep,FAV,RFP,N
10-Sep,PPT,BOB,Y
10-Sep,PPT,HUH,Y
10-Sep,PPT,RGI,Y
10-Sep,PPT,TIH,Y
10-Sep,PPT,FAV,N
10-Sep,PPT,RFP,Y
14-Sep,PPT,RFP,Y
14-Sep,BOB,RFP,Y
14-Sep,HUH,RFP,Y
14-Sep,RGI,RFP,N
14-Sep,TIH,RFP,N
14-Sep,FAV,RFP,N
