Route,Date,Dep,Arr,Carrier,Duration,Stops,Stop Codes,Layover,Per Person,Total,snapshot_date
RFP-BOB,"Sun, Sep 13",9:30,9:50,Air Tahiti,0h 20m,Direct,,,125.86,251.72,3/4/2026
RFP-BOB,"Tue, Sep 8",7:20,7:40,Air Tahiti,0h 20m,Direct,,,136.71,273.42,3/4/2026
RFP-BOB,"Thu, Sep 10",18:10,18:30,Air Tahiti,0h 20m,Direct,,,136.71,273.42,3/4/2026
RFP-BOB,"Thu, Sep 10",7:25,7:45,Air Tahiti,0h 20m,Direct,,,136.71,273.42,3/4/2026
BOB-RFP,"Fri, Sep 4",12:25,12:45,Air Tahiti,0h 20m,Direct,,,140.28,280.56,3/4/2026
BOB-RFP,"Fri, Sep 4",8:20,8:40,Air Tahiti,0h 20m,Direct,,,140.28,280.56,3/4/2026
BOB-RFP,"Fri, Sep 4",17:55,18:15,Air Tahiti,0h 20m,Direct,,,140.28,280.56,3/4/2026
BOB-RFP,"Wed, Sep 9",12:50,13:10,Air Tahiti,0h 20m,Direct,,,140.28,280.56,3/4/2026
BOB-RFP,"Wed, Sep 9",16:05,16:25,Air Tahiti,0h 20m,Direct,,,140.28,280.56,3/4/2026
BOB-RFP,"Sat, Sep 12",8:25,8:45,Air Tahiti,0h 20m,Direct,,,140.28,280.56,3/4/2026
HUH-RFP,"Sun, Sep 6",9:45,10:05,Air Moana,0h 20m,Direct,,,140.32,280.65,3/4/2026
RFP-BOB,"Fri, Sep 4",12:50,13:10,Air Tahiti,0h 20m,Direct,,,141.73,283.46,3/4/2026
RFP-BOB,"Sat, Sep 5",15:35,15:55,Air Tahiti,0h 20m,Direct,,,141.73,283.46,3/4/2026
RFP-BOB,"Sat, Sep 5",11:40,12:00,Air Tahiti,0h 20m,Direct,,,141.73,283.46,3/4/2026
RFP-BOB,"Sat, Sep 5",10:30,10:50,Air Tahiti,0h 20m,Direct,,,141.73,283.46,3/4/2026
RFP-BOB,"Mon, Sep 7",17:50,18:10,Air Tahiti,0h 20m,Direct,,,141.73,283.46,3/4/2026
RFP-BOB,"Sun, Sep 13",16:20,16:40,Air Moana,0h 20m,Direct,,,141.77,283.54,3/4/2026
BOB-RFP,"Sun, Sep 6",8:55,9:15,Air Moana,0h 20m,Direct,,,142.78,285.57,3/4/2026
RFP-BOB,"Sun, Sep 13",17:30,17:50,Air Tahiti,0h 20m,Direct,,,143.22,286.44,3/4/2026
BOB-RFP,"Sun, Sep 6",12:40,15:05,Air Moana,26h 25m,5,"RGI, FAV, PPT, MOZ, HUH",21h 55m,146.2,292.4,3/4/2026
BOB-RFP,"Sun, Sep 6",15:20,15:40,Air Tahiti,0h 20m,Direct,,,154.94,309.87,3/4/2026
RFP-BOB,"Thu, Sep 10",17:45,18:05,Air Moana,0h 20m,Direct,,,155.3,310.6,3/4/2026
RFP-BOB,"Thu, Sep 10",17:25,17:45,Air Tahiti,0h 20m,Direct,,,156.96,313.92,3/4/2026
HUH-RFP,"Wed, Sep 9",12:00,12:20,Air Moana,0h 20m,Direct,,,159.09,318.18,3/4/2026
RFP-HUH,"Sun, Sep 13",16:20,14:25,Air Moana,22h 5m,3,"BOB, PPT, MOZ",20h 0m,159.13,318.26,3/4/2026
RFP-BOB,"Tue, Sep 8",17:20,17:40,Air Moana,0h 20m,Direct,,,159.81,319.62,3/4/2026
RFP-HUH,"Wed, Sep 2",9:50,10:10,Air Tahiti,0h 20m,Direct,,,161.98,323.96,3/4/2026
RFP-HUH,"Wed, Sep 2",16:35,16:55,Air Tahiti,0h 20m,Direct,,,161.98,323.96,3/4/2026
RFP-HUH,"Tue, Sep 8",19:25,19:45,Air Tahiti,0h 20m,Direct,,,161.98,323.96,3/4/2026
HUH-RFP,"Sat, Sep 5",18:50,19:10,Air Tahiti,0h 20m,Direct,,,162.03,324.05,3/4/2026
HUH-RFP,"Sat, Sep 5",11:50,12:10,Air Tahiti,0h 20m,Direct,,,162.03,324.05,3/4/2026
HUH-RFP,"Sun, Sep 6",14:25,15:40,Air Tahiti,1h 15m,1,BOB,30m,162.03,324.05,3/4/2026
HUH-RFP,"Sun, Sep 6",8:35,8:55,Air Tahiti,0h 20m,Direct,,,162.03,324.05,3/4/2026
RFP-BOB,"Sun, Sep 13",16:20,16:40,Hahn Air Technologies,0h 20m,Direct,,,162.03,324.05,3/4/2026
RGI-TIH,"Mon, Sep 7",8:10,8:30,Air Tahiti,0h 20m,Direct,,,163.47,326.94,3/4/2026
RGI-TIH,"Mon, Sep 7",13:05,13:25,Air Tahiti,0h 20m,Direct,,,163.47,326.94,3/4/2026
RGI-TIH,"Wed, Sep 9",11:30,11:50,Air Tahiti,0h 20m,Direct,,,163.47,326.94,3/4/2026
HUH-RFP,"Thu, Sep 3",7:25,7:45,Air Tahiti,0h 20m,Direct,,,169.98,339.96,3/4/2026
